Region,Country,Year,Gender,SuicideCount
EUROPE,UKRAINE,2011,Female,1664
EUROPE,UKRAINE,2012,Male,7363
EUROPE,UKRAINE,2012,Female,1697
EUROPE,UKRAINE,2014,Male,6414
EUROPE,UKRAINE,2014,Female,1556
EUROPE,UKRAINE,2015,Male,6149
EUROPE,UKRAINE,2015,Female,1426
EUROPE,UKRAINE,2017,Male,5327
EUROPE,UKRAINE,2017,Female,1161
EUROPE,UKRAINE,2018,Male,5172
EUROPE,UKRAINE,2018,Female,1107
EUROPE,UKRAINE,2019,Male,5112
EUROPE,UKRAINE,2019,Female,1078
AMERICA,URUGUAY,1993,Male,320
AMERICA,URUGUAY,1993,Female,100
AMERICA,URUGUAY,1994,Male,330
AMERICA,URUGUAY,1994,Female,78
AMERICA,URUGUAY,1995,Male,326
AMERICA,URUGUAY,1995,Female,103
AMERICA,URUGUAY,1996,Male,314
AMERICA,URUGUAY,1996,Female,86
AMERICA,URUGUAY,1997,Male,372
AMERICA,URUGUAY,1997,Female,90
AMERICA,URUGUAY,1998,Male,419
AMERICA,URUGUAY,1998,Female,106
AMERICA,URUGUAY,1999,Male,372
AMERICA,URUGUAY,1999,Female,84
AMERICA,URUGUAY,2000,Male,470
AMERICA,URUGUAY,2000,Female,95
AMERICA,URUGUAY,2001,Male,394
AMERICA,URUGUAY,2001,Female,109
AMERICA,URUGUAY,2002,Male,536
AMERICA,URUGUAY,2002,Female,142
AMERICA,URUGUAY,2002,Unknown,1
AMERICA,URUGUAY,2003,Male,412
AMERICA,URUGUAY,2003,Female,123
AMERICA,URUGUAY,2004,Male,417
AMERICA,URUGUAY,2004,Female,109
AMERICA,URUGUAY,2004,Unknown,1
AMERICA,URUGUAY,2005,Male,384
AMERICA,URUGUAY,2005,Female,115
AMERICA,URUGUAY,2006,Male,395
AMERICA,URUGUAY,2006,Female,136
AMERICA,URUGUAY,2006,Unknown,1
AMERICA,URUGUAY,2007,Male,455
AMERICA,URUGUAY,2007,Female,136
AMERICA,URUGUAY,2008,Male,415
AMERICA,URUGUAY,2008,Female,114
